slug,name,repository,latest_release,last_commit,status
4gh/WorldBankData.jl,WorldBankData,https://github.com/4gh/WorldBankData.jl,0.1.0,2017-07-08,t
AStupidBear/SNN.jl,SpikingNetworks,https://github.com/AStupidBear/SNN.jl,0.0.4,2017-11-12,f
Aerlinger/AnsiColor.jl,AnsiColor,https://github.com/Aerlinger/AnsiColor.jl,0.0.2,2014-07-06,f
Alexander-Barth/DataAssim.jl,DataAssim,https://github.com/Alexander-Barth/DataAssim.jl,0.1.0,2018-07-06,t
Alexander-Barth/NCDatasets.jl,NCDatasets,https://github.com/Alexander-Barth/NCDatasets.jl,0.0.12,2018-07-05,t
Alexander-Barth/UDUnits.jl,UDUnits,https://github.com/Alexander-Barth/UDUnits.jl,0.0.1,2018-07-09,t
Algocircle/Cascadia.jl,Cascadia,https://github.com/Algocircle/Cascadia.jl,0.2.0,2018-01-03,t
AndreyKolev/GARCH.jl,GARCH,https://github.com/AndreyKolev/GARCH.jl,0.3.0,2017-05-28,t
AndyGreenwell/GroupSlices.jl,GroupSlices,https://github.com/AndyGreenwell/GroupSlices.jl,0.0.1,2017-05-23,f
AustinPrivett/MatrixChainMultiply.jl,MatrixChainMultiply,https://github.com/AustinPrivett/MatrixChainMultiply.jl,0.0.1,2017-05-27,f
Azzaare/NetworkFlows.jl,NetworkFlows,https://github.com/Azzaare/NetworkFlows.jl,0.0.1,2017-05-18,f
Azzaare/PackageStream.jl,PackageStream,https://github.com/Azzaare/PackageStream.jl,0.0.1,2017-11-10,t
BBN-Q/Cliffords.jl,Cliffords,https://github.com/BBN-Q/Cliffords.jl,0.4.0,2018-07-14,t
BBN-Q/Instruments.jl,Instruments,https://github.com/BBN-Q/Instruments.jl,0.1.0,2015-12-10,f
BBN-Q/QuantumInfo.jl,QuantumInfo,https://github.com/BBN-Q/QuantumInfo.jl,0.0.2,2018-06-25,f
BBN-Q/QuantumTomography.jl,QuantumTomography,https://github.com/BBN-Q/QuantumTomography.jl,0.0.2,2018-06-25,f
BBN-Q/RandomQuantum.jl,RandomQuantum,https://github.com/BBN-Q/RandomQuantum.jl,0.0.1,2016-09-19,f
BBN-Q/SchattenNorms.jl,SchattenNorms,https://github.com/BBN-Q/SchattenNorms.jl,0.0.3,2016-10-26,f
Balinus/ClimateTools.jl,ClimateTools,https://github.com/Balinus/ClimateTools.jl,0.7.0,2018-07-15,t
BenConnault/DynamicDiscreteModels.jl,DynamicDiscreteModels,https://github.com/BenConnault/DynamicDiscreteModels.jl,0.0.3,2016-03-09,f
BenConnault/HiddenMarkovModels.jl,HiddenMarkovModels,https://github.com/BenConnault/HiddenMarkovModels.jl,0.0.2,2016-03-08,f
BenJWard/BioArgParse.jl,BioArgParse,https://github.com/BenJWard/BioArgParse.jl,0.0.2,2016-12-18,f
BenJWard/Phylogenetics.jl,Phylogenetics,https://github.com/BenJWard/Phylogenetics.jl,0.0.2,2016-03-23,f
BenJWard/Twiddle.jl,Twiddle,https://github.com/BenJWard/Twiddle.jl,0.4.0,2017-06-30,f
BenLauwens/ResumableFunctions.jl,ResumableFunctions,https://github.com/BenLauwens/ResumableFunctions.jl,0.3.1,2018-07-06,t
BenLauwens/SimJulia.jl,SimJulia,https://github.com/BenLauwens/SimJulia.jl,0.6.0,2018-07-06,t
Betawolf/Phonetics.jl,Phonetics,https://github.com/Betawolf/Phonetics.jl,0.1.0,2018-07-14,f
BioJulia/Automa.jl,Automa,https://github.com/BioJulia/Automa.jl,0.6.1,2018-07-09,t
BioJulia/BGZFStreams.jl,BGZFStreams,https://github.com/BioJulia/BGZFStreams.jl,0.1.4,2018-06-22,t
BioJulia/Bio.jl,Bio,https://github.com/BioJulia/Bio.jl,0.4.7,2018-06-26,t
BioJulia/BioAlignments.jl,BioAlignments,https://github.com/BioJulia/BioAlignments.jl,0.3.0,2018-06-22,t
BioJulia/BioBridgeR.jl,BioBridgeR,https://github.com/BioJulia/BioBridgeR.jl,0.1.1,2018-05-02,t
BioJulia/BioCore.jl,BioCore,https://github.com/BioJulia/BioCore.jl,1.4.0,2018-05-02,t
BioJulia/BioSequences.jl,BioSequences,https://github.com/BioJulia/BioSequences.jl,0.8.3,2018-06-22,t
BioJulia/BioServices.jl,BioServices,https://github.com/BioJulia/BioServices.jl,0.1.2,2018-07-17,t
BioJulia/BioStructures.jl,BioStructures,https://github.com/BioJulia/BioStructures.jl,0.2.0,2018-05-29,t
BioJulia/BioSymbols.jl,BioSymbols,https://github.com/BioJulia/BioSymbols.jl,2.0.0,2018-07-02,t
BioJulia/BioTools.jl,BioTools,https://github.com/BioJulia/BioTools.jl,0.1.0,2018-05-03,t
BioJulia/BufferedStreams.jl,BufferedStreams,https://github.com/BioJulia/BufferedStreams.jl,0.4.0,2018-07-10,t
BioJulia/FMIndexes.jl,FMIndexes,https://github.com/BioJulia/FMIndexes.jl,0.1.0,2018-05-03,t
BioJulia/GeneticVariation.jl,GeneticVariation,https://github.com/BioJulia/GeneticVariation.jl,0.3.1,2018-06-22,t
BioJulia/GenomicFeatures.jl,GenomicFeatures,https://github.com/BioJulia/GenomicFeatures.jl,0.2.1,2018-06-21,t
BioJulia/IndexableBitVectors.jl,IndexableBitVectors,https://github.com/BioJulia/IndexableBitVectors.jl,0.1.2,2017-06-11,t
BioJulia/IntervalTrees.jl,IntervalTrees,https://github.com/BioJulia/IntervalTrees.jl,0.4.1,2018-05-03,t
BioJulia/Libz.jl,Libz,https://github.com/BioJulia/Libz.jl,0.2.4,2018-07-11,t
BioJulia/MMTF.jl,MMTF,https://github.com/BioJulia/MMTF.jl,0.0.1,2018-04-04,t
BioJulia/Microbiome.jl,Microbiome,https://github.com/BioJulia/Microbiome.jl,0.2.0,2018-06-29,t
BioJulia/NaturalSelection.jl,NaturalSelection,https://github.com/BioJulia/NaturalSelection.jl,0.2.0,2018-05-02,t
BioJulia/Phylogenies.jl,Phylogenies,https://github.com/BioJulia/Phylogenies.jl,0.1.0,2018-06-22,f
BioJulia/SubstitutionModels.jl,SubstitutionModels,https://github.com/BioJulia/SubstitutionModels.jl,0.1.0,2018-04-25,t
BioJulia/WaveletMatrices.jl,WaveletMatrices,https://github.com/BioJulia/WaveletMatrices.jl,0.2.0,2018-06-26,t
CarloLucibello/Erdos.jl,Erdos,https://github.com/CarloLucibello/Erdos.jl,0.6.1,2018-07-02,t
ChevronETC/TeaSeis.jl,TeaSeis,https://github.com/ChevronETC/TeaSeis.jl,0.0.5,2018-03-26,t
ChrisRackauckas/ChunkedArrays.jl,ChunkedArrays,https://github.com/ChrisRackauckas/ChunkedArrays.jl,0.1.1,2016-10-22,f
ChrisRackauckas/EllipsisNotation.jl,EllipsisNotation,https://github.com/ChrisRackauckas/EllipsisNotation.jl,0.3.0,2017-10-20,t
ChrisRackauckas/GrowableArrays.jl,GrowableArrays,https://github.com/ChrisRackauckas/GrowableArrays.jl,0.0.5,2017-05-23,f
ChrisRackauckas/LinkedLists.jl,LinkedLists,https://github.com/ChrisRackauckas/LinkedLists.jl,0.0.1,2018-06-12,t
ChrisRackauckas/VectorizedRoutines.jl,VectorizedRoutines,https://github.com/ChrisRackauckas/VectorizedRoutines.jl,0.0.2,2017-08-17,f
